carat,clarity,color,cut,x dimension,y dimension,z dimension,depth,table,price
0.5, IF, D, Ideal,5.1,5.15,3.2,61.650000000000006,57.6,3000.0
0.7, vvs2, E, premium,5.7,5.694472528154446,3.52,62.0,59.0,4500.0
0.1824725200697621, Si2, h, Good,4.3,4.31,2.6735904005872295,62.3,56.0,700.0
1.2, if, d, ideal,6.806717133839215,6.82,4.2,61.7,58.0,10000.0
0.9, I1, J, Fair,6.0,5.992341047512541,3.7,61.7,57.4,2400.0
0.8525418720644056, Si1, G, very Good,5.9,5.92,3.63,62.2,57.0,4200.0
0.5, if, D, Ideal,5.1,5.123665329952526,3.2,61.650000000000006,57.0,3100.0
0.4, Vvs1, f, good,4.8,4.79,2.95,62.31654135338345,56.91017964071856,1500.0
0.1864302735005614, SI2, I, good,4.3,4.32,2.679572429331454,62.3,57.0,
1.0, vvs1, F, Ideal,6.4,6.426893834094743,4.0,62.06,58.0,7500.0
0.5, Si1, Colorless, premium,5.2077983700673105,5.21,3.21,61.650000000000006,58.0,
0.4, vvs2, G, Very good,4.9,4.88,3.025323482085438,61.650000000000006,56.0,1400.0
0.7306147951893363, si2, j, Fair,5.7,5.71,3.54,62.279999999999994,54.0,2000.0
1.1, vvs1, e, premium,6.6,6.600543006485868,4.08,62.2,57.0,9200.0
0.55, SI2, H, good,5.3,5.29,3.277758289316914,62.0,57.4,1800.0
0.24714560521683593, vvs2, I, Good,4.4,4.39,2.69,61.650000000000006,57.0,
0.5, si1, g, very good,5.2,5.185560075633817,3.2,62.120000000000005,56.0,2300.0
1.0, IF, d, ideal,6.5,6.49,4.017116624778673,61.7,58.0,
0.6, si2, h, Good,5.5,5.52,3.418930764793211,62.2,57.0,2200.0
0.7, i1, J, fair,5.784524663610592,5.79,3.57,61.650000000000006,57.6,2100.0
0.8147354541977485, VVS1, f, Ideal,6.1,6.15,3.9,61.8,57.0,6000.0
1.3, si1, G, premium,6.9,6.923341366358235,4.3,62.849999999999994,60.0,10500.0
1.4, IF, D, good,7.1,7.12,4.404741878742223,62.4,59.0,11000.0
0.2793818585932084, VVS2, e, Good,4.6,4.58,2.85,62.120000000000005,56.0,800.0
1.6, i1, I, fair,7.3,7.28,4.5,62.279999999999994,54.0,3400.0
0.2, Si1, H, very Good,3.9,3.89,2.41,62.1,56.0,500.0
0.35, if, G, Ideal,4.5,4.52,2.8027988185750794,61.9,56.0,1300.0
0.30289981315692893, VVS2, g, good,4.6,4.583590576789058,2.83,62.2,57.0,1600.0
0.55, I1, j, premium,5.4,5.42,3.35,62.1,56.0,2500.0
1.1309885799123642, vvs1, D, Ideal,6.7,6.71,4.15,62.06,58.0,7700.0
0.65, Si2, colorless, very good,5.6,5.601415481830315,3.47,62.3,58.0,2900.0
1.5, vvs2, F, good,7.2,7.18,4.4424269583871405,62.7,59.0,10800.0
0.9, si2, h, Fair,6.1,6.12,3.78,62.4,58.0,2600.0
1.2077423480252079, VVS1, e, premium,6.9,6.904643985972531,4.27,62.2,57.0,9300.0
0.45, SI2, I, good,4.9,4.91,3.043269568318109,62.1,56.0,1700.0
0.6, vvs2, G, Good,5.5,5.49,3.4009846785605404,62.06,58.0,2800.0
0.5664744922082772, si1, f, very good,5.3,5.31,3.3,62.0,57.0,2700.0
0.95, IF, d, ideal,6.3,6.3026744871277725,3.9,62.6,58.0,9400.0
1.05, si2, j, Good,6.6,6.58,4.072747790656262,62.7,58.4,8500.0
0.8120252112781987, i1, G, fair,5.9,5.899284001188411,3.65,61.9,55.0,2200.0
0.45, si2, H, ideal,4.8,4.82,3.01,62.1,56.0,1500.0
0.9292241009737743, IF, f, Premium,6.2,6.203384980675073,3.84,61.9,58.0,5900.0
0.85, VVS1, I, good,5.8,5.82,3.6037703486586516,62.2,55.0,4800.0
0.95, vvs2, D, Good,6.3,6.31,3.91,62.4,58.0,7300.0
0.8527076498652901, si1, E, fair,6.0,6.01,3.7210147091580534,62.279999999999994,54.0,2700.0
0.35, IF, g, Very Good,4.6,4.596055497046194,2.85,62.0,57.0,1400.0
0.55, VVS2, j, Ideal,5.4,5.402836468924918,3.35,62.3,56.0,2600.0
0.3813549900090436, I1, d, good,4.8,4.79,2.96,61.8,56.8,1200.0
1.05, vvs1, F, Premium,6.7,6.69,4.13,62.06,58.0,9500.0
0.75, Si2, G, good,5.7,5.71,3.5361751252926146,62.5,57.0,3800.0
0.65, si1, Colorless, Very Good,5.6,5.58,3.48,62.6,58.0,3300.0
1.4, vvs2, H, good,7.1,7.103222998877928,4.39,62.7,59.0,11200.0
0.3, i1, I, Fair,4.4,4.41,2.735203595209043,62.1,55.0,600.0
0.5, VVS1, E, premium,5.2,5.22,3.234091180927772,62.06,58.0,2900.0
1.3, SI2, f, Good,6.9,6.898411525843963,4.26,62.3,57.0,9900.0
1.1720236556576284, vvs2, D, good,6.8,6.81,4.21,62.28000000000001,59.0,8100.0
0.4, si1, j, Very Good,4.8,4.78,2.96,62.2,56.2,1400.0
1.15, IF, g, Ideal,6.5,6.501253500033169,4.02,62.0,58.0,9800.0
0.8128378432816485, i1, H, good,5.9,5.88,3.63,62.4,58.0,2100.0
0.55, si2, I, Fair,5.3,5.303546962472219,3.29,62.1,54.0,1700.0
0.6, VVS2, d, Premium,5.6,5.58,3.48,62.2,57.0,3700.0
0.8960909991664141, si1, F, very good,6.1,6.12,3.7886099325240905,62.1,59.0,5000.0
0.35, i1, G, Ideal,4.5,4.52,2.79,62.0,57.4,900.0
0.75, VVS1, h, good,5.8,5.81,3.5977883199144274,62.3,56.0,4600.0
0.815815839599515, si2, E, Fair,5.9,5.893051541059843,3.64,62.2,54.0,2500.0
1.05, IF, I, Premium,6.6,6.59,4.09,62.06,58.0,9600.0
0.4, VVS2, j, good,4.7,4.69,2.91,62.1,56.0,1800.0
0.55, I1, G, very good,5.3,5.297314502343651,3.28,62.4,57.0,2300.0
1.1521716412662504, vvs1, H, Ideal,6.8,6.79,4.21,62.2,56.2,7900.0
0.7, Si2, d, good,5.7,5.69,3.53,62.5,56.0,4000.0
0.9, si1, colorless, Premium,6.2,6.22,3.8502231271459038,62.3,59.0,6600.0
0.5, vvs2, F, good,5.2,5.198024995890953,3.22,62.6,58.0,3100.0
0.45, i1, I, fair,4.8,4.81,2.98,62.279999999999994,54.0,1100.0
1.2, VVS1, e, Premium,6.8,6.799122019391265,4.2,62.7,58.0,10200.0
0.65, SI2, G, good,5.6,5.59,3.47,62.2,57.0,3500.0
0.55, vvs2, d, Very Good,5.4,5.39660400879635,3.34,62.4,56.0,2800.0
1.3, si1, H, Ideal,6.9,6.92,4.281515489498596,62.8,59.0,9900.0
0.75, IF, f, good,5.9,5.899284001188411,3.65,62.5,57.0,4700.0
0.8523550506171627, i1, E, Fair,6.0,5.998573507641108,3.71,62.6,55.0,2600.0
0.5, si2, I, very good,5.1,5.104967949566822,3.17,62.1,56.0,2200.0
0.85, vvs2, e, Premium,6.0,6.03,3.73,62.06,58.0,6500.0
0.7199936476363229, I1, G, ideal,5.7,5.719402368668717,3.56,62.4,56.0,1900.0
1.1, Si2, H, Fair,6.6,6.58,4.072747790656262,62.5,54.0,7100.0
0.9667973113973791, VVS1, d, Good,6.3,6.32,3.92,62.2,57.0,7800.0
0.9, si1, I, very good,6.2,6.209617440803642,3.85,62.2,59.0,6700.0
0.5, vvs2, F, Premium,5.2,5.23,3.240073209671996,62.1,58.0,3200.0
0.650705853922342, i1, colorless, Good,5.5,5.502125975377616,3.41,62.3,56.0,2400.0
0.4, IF, G, ideal,4.7,4.69,2.91,62.2,57.0,2600.0
1.15, VVS2, H, Fair,6.7,6.71,4.14,62.6,58.0,9200.0
0.7738564581246394, si2, E, very good,5.8,5.81,3.5977883199144274,62.279999999999994,55.0,3000.0
0.7, Si1, I, Premium,5.7,5.68,3.53,62.7,58.0,4100.0
0.65, vvs1, d, Good,5.6,5.57,3.450633815693906,62.4,56.0,3600.0
1.25, IF, G, ideal,6.8,6.805354479519833,4.21,62.28000000000001,59.0,10300.0
0.55, i1, F, Fair,5.3,5.297314502343651,3.28,62.1,54.0,2300.0
0.6, Si2, e, Premium,5.5,5.49,3.4009846785605404,62.2,57.0,3400.0
1.0178093598722602, vvs2, D, good,6.4,6.42,3.97,62.31654135338345,56.91017964071856,8000.0
0.75, si1, I, Very good,5.9,5.88,3.65,62.3,57.0,4400.0
1.4, VVS1, e, Premium,7.1,7.109455459006496,4.4,62.7,58.0,11500.0
0.8053665471333682, i1, F, Good,5.9,5.89,3.647437457047793,62.8,55.0,2500.0
0.45, si2, H, ideal,4.8,4.79,2.97,62.120000000000005,56.0,1500.0
0.95, Si2, G, Very Good,6.3,6.31,3.92,62.120000000000005,56.0,6800.0
1.05, i1, colorless, Premium,6.7,6.68,4.134360985278075,62.5,57.0,7300.0
0.55, VVS1, H, Good,5.3,5.29,3.277758289316914,62.1,58.0,3100.0
0.65, si2, I, fair,5.6,5.59,3.46,62.120000000000005,56.0,3300.0
1.048918428421835, VVS2, E, Premium,6.5,6.51,4.03,62.3,57.0,7700.0
0.8, IF, F, Good,6.0,6.004805967769677,3.72,62.2,57.0,5900.0
1.15, si1, G, Very good,6.8,6.82,4.21,62.6,58.0,9300.0
1.0060931513303868, vvs2, D, fair,6.4,6.408196453709039,3.97,62.4,58.0,7900.0
0.7, Si2, H, Ideal,5.7,5.68,3.52,62.5,56.0,4200.0
1.3, i1, I, Premium,7.0,7.0039334924252294,4.33,62.7,56.0,9800.0
0.4, VVS1, F, good,4.8,4.77,2.96,62.279999999999994,55.0,2700.0
0.6831320060915935, si2, e, Good,5.6,5.58,3.4566158444381303,62.2,59.0,2900.0
0.85, IF, D, Very Good,6.1,6.09,3.78,62.120000000000005,56.0,6500.0
1.2, vvs2, G, fair,6.9,6.89,4.263569403265925,62.8,54.0,10100.0
0.5, Si1, H, Premium,5.1,5.098735489438254,3.16,62.3,57.0,3000.0
1.05, i1, I, Very good,6.6,6.59,4.08,62.06,58.0,7400.0
0.45, VVS2, e, Good,4.9,4.887691556275722,3.02,62.4,55.0,2600.0
0.75, si2, F, ideal,5.8,5.77,3.59,62.120000000000005,56.0,4600.0
0.9591111771838703, IF, G, Premium,6.3,6.28,3.887908206790822,62.5,57.0,7200.0
0.6, vvs1, H, Good,5.5,5.49,3.4009846785605404,62.1,56.0,3600.0
0.9, si2, H, Premium,6.2,6.21,3.84,62.28000000000001,59.0,6800.0
1.1, VVS1, e, Very Good,6.7,6.706064973067134,4.15,62.2,56.0,9500.0
1.0488674628879076, IF, I, Good,6.5,6.52,4.04,62.06,58.0,7600.0
0.45, si1, F, fair,4.9,4.88,3.025323482085438,62.5,54.0,2100.0
0.7, vvs2, G, Ideal,5.7,5.706937448411582,3.54,62.4,55.0,4300.0
0.6174865406831591, i1, colorless, Premium,5.4,5.41,3.35,62.120000000000005,56.0,2200.0
0.8, VVS2, H, very good,6.0,6.004805967769677,3.72,62.7,57.0,6300.0
1.25, si2, D, Good,6.9,6.898411525843963,4.26,62.06,58.0,10400.0
0.55, Si1, I, fair,5.4,5.39,3.33,62.6,58.0,2800.0
0.9695539403127391, vvs1, E, Premium,6.3,6.3026744871277725,3.9,62.3,59.0,7800.0
0.65, i1, G, Very Good,5.6,5.57,3.47,62.120000000000005,56.0,3400.0
1.3, Si2, H, fair,7.0,7.0039334924252294,4.33,62.7,58.0,10200.0
0.5, VVS1, I, Ideal,5.2,5.19,3.216145094695101,62.8,55.0,3200.0
0.85, si2, F, very good,6.1,6.11,3.78,62.2,57.0,6400.0
0.6948263215826223, i1, G, Good,5.6,5.595183021701747,3.46,62.4,59.0,2300.0
1.05, VVS2, e, Ideal,6.6,6.62,4.09,62.6,58.0,9300.0
0.4, Si1, F, fair,4.7,4.70157746362746,2.92,62.1,56.0,2400.0
1.2, vvs1, G, Premium,6.8,6.799122019391265,4.2,62.06,58.0,10100.0
0.7928838978224144, i1, H, very good,5.9,5.88,3.65,62.5,57.0,2600.0
0.75, Si2, I, Good,5.9,5.89,3.64,62.120000000000005,56.0,4500.0
0.95, vvs2, G, Ideal,6.4,6.41,3.97,62.06,58.0,6900.0
1.15, si1, F, very good,6.9,6.88,4.27,62.120000000000005,56.0,9600.0
0.55, VVS1, H, Fair,5.3,5.303546962472219,3.29,62.3,59.0,3100.0
1.0588444356175244, IF, I, Premium,6.5,6.52,4.03,62.6,58.0,7700.0
0.65, si2, E, Good,5.6,5.58,3.47,62.120000000000005,56.0,3300.0
0.8, i1, G, fair,6.1,6.08,3.7646818175471957,62.5,57.0,4000.0
1.058793470083597, VVS2, H, Premium,6.5,6.53,4.04,62.7,58.0,7900.0
1.3, si1, colorless, very good,7.1,7.103222998877928,4.39,62.120000000000005,56.0,10300.0
0.7, VVS1, I, Fair,5.8,5.77,3.59,62.279999999999994,55.0,4300.0
0.4, si2, F, Premium,4.8,4.78,2.9637102874636243,62.4,58.0,2100.0
1.05, i1, G, Good,6.7,6.68,4.14,62.120000000000005,56.0,7400.0
0.85, VVS2, H, fair,6.2,6.21,3.84424109840168,62.2,57.0,6500.0
0.7307167262571919, Si1, I, Very good,5.7,5.69,3.52,62.8,56.0,4100.0
0.45, vvs1, G, Ideal,4.9,4.89392401640429,3.03,62.1,59.0,2600.0
1.2, si2, F, Premium,6.9,6.88,4.27,62.5,56.0,10100.0
0.5, VVS1, I, fair,5.1,5.12,3.172477986305959,62.6,57.0,3200.0
0.6, si1, G, Very good,5.5,5.52,3.42,62.120000000000005,56.0,3500.0
1.4, vvs2, H, Good,7.2,7.202512505330627,4.45,62.7,58.0,12000.0
1.0078833526765716, IF, I, fair,6.4,6.41,3.97,62.279999999999994,55.0,8000.0
0.75, Si1, F, Premium,5.9,5.91,3.66,62.3,59.0,4600.0
1.1, VVS2, F, fair,6.8,6.79,4.21,62.2,57.0,9400.0
0.4, Si1, I, Premium,4.7,4.69,2.9080791215860353,62.2,55.0,2200.0
0.6373385550745372, i1, G, Very good,5.4,5.43,3.35,62.28000000000001,59.0,2400.0
0.75, vvs1, H, Good,5.9,5.89,3.647437457047793,62.7,56.0,4400.0
1.35, Si2, e, Ideal,7.2,7.208744965459195,4.46,62.8,57.0,10700.0
1.089953504167101, VVS1, I, fair,6.6,6.61,4.09,62.6,55.0,7900.0
0.9, si2, G, Premium,6.3,6.31,3.9,62.06,58.0,6900.0
0.6, IF, H, very good,5.5,5.49,3.41,62.120000000000005,56.0,3600.0
0.7313655326002699, i1, I, Ideal,5.7,5.700704988283013,3.53,62.4,57.0,2500.0
0.85, VVS2, F, Premium,6.2,6.203384980675073,3.84,62.28000000000001,59.0,6600.0
1.25, Si2, G, fair,6.9,6.91,4.275533460754373,62.3,58.0,10500.0
0.5, VVS1, H, Very Good,5.2,5.198024995890953,3.22,62.1,57.0,3100.0
0.95, si2, D, Good,6.4,6.38,3.96,62.120000000000005,56.0,7100.0
1.0023025230090727, IF, I, very good,6.4,6.414428913837607,3.98,62.2,58.0,7600.0
0.45, VVS1, E, Premium,4.8,4.81,2.9816563736962953,62.5,55.0,2500.0
1.3, si1, G, Ideal,7.0,7.01,4.34,62.2,57.0,9900.0
1.0932189785180406, VVS2, H, fair,6.6,6.62,4.096675905633156,62.6,58.0,8100.0
0.7, Si2, I, very good,5.8,5.77,3.58,62.120000000000005,56.0,4200.0
0.55, VVS1, F, Good,5.4,5.38,3.3333894551945034,62.4,59.0,3300.0
1.2, i1, G, Premium,6.8,6.81,4.21,62.7,58.4,10100.0
1.05, VVS2, F, very good,6.6,6.65,4.11,62.06,58.0,9200.0
0.35, Si1, I, Premium,4.5,4.49,2.784852732342409,62.3,56.0,2100.0
0.5651944107796969, i1, G, Ideal,5.2,5.24,3.23,62.2,57.0,15850.0
0.8, VVS1, H, fair,6.0,6.01,3.72,62.06,58.0,4900.0
1.4, Si2, D, Very good,7.3,7.295569551654758,4.5,62.6,59.0,15850.0
1.0588444356175244, VVS1, H, Good,6.5,6.52,4.03,62.6,58.0,7900.0
0.5, si2, E, Premium,5.1,5.11,3.1664959575617355,62.5,55.0,2900.0
0.9, IF, G, very good,6.3,6.3026744871277725,3.9,62.2,57.0,15850.0
1.35, i1, I, Ideal,7.1,7.12,4.4,62.120000000000005,56.0,9900.0
1.1308732976685953, VVS2, D, fair,6.7,6.699832512938566,4.14,62.2,59.0,15850.0
0.65, Si2, F, Very good,5.5,5.502125975377616,3.41,62.2,57.0,3400.0
1.15, VVS1, G, Premium,6.8,6.85,4.23,62.7,58.4,9800.0
0.4, si2, H, fair,4.7,4.695345003498892,2.91,62.1,58.0,2000.0
0.9695539403127391, VVS2, E, Good,6.3,6.3026744871277725,3.9,62.06,58.0,7700.0
0.95, Si1, G, Ideal,6.4,6.42,3.96,62.120000000000005,56.0,7100.0
0.45, si1, F, very good,4.9,4.89,3.0313055108296614,62.4,59.0,2300.0
1.25, VVS2, H, Good,6.9,6.904643985972531,4.27,62.279999999999994,55.0,10400.0
0.55, i1, I, Premium,5.3,5.297314502343651,3.28,62.3,57.0,15850.0
0.85, Si2, E, fair,6.1,6.13,3.78,62.06,58.0,6300.0
1.0277353670679488, VVS1, G, Very good,6.4,6.43,3.97,62.5,56.0,7500.0
